"","V1","V2","V3","V4","V5"
"656","IL",17,121,"Marion County","H1"
"657","IL",17,123,"Marshall County","H1"
"658","IL",17,125,"Mason County","H1"
"659","IL",17,127,"Massac County","H1"
"660","IL",17,129,"Menard County","H1"
"661","IL",17,131,"Mercer County","H1"
"662","IL",17,133,"Monroe County","H1"
"663","IL",17,135,"Montgomery County","H1"
"664","IL",17,137,"Morgan County","H1"
"665","IL",17,139,"Moultrie County","H1"
"666","IL",17,141,"Ogle County","H1"
"667","IL",17,143,"Peoria County","H1"
"668","IL",17,145,"Perry County","H1"
"669","IL",17,147,"Piatt County","H1"
"670","IL",17,149,"Pike County","H1"
"671","IL",17,151,"Pope County","H1"
"672","IL",17,153,"Pulaski County","H1"
"673","IL",17,155,"Putnam County","H1"
"674","IL",17,157,"Randolph County","H1"
"675","IL",17,159,"Richland County","H1"
"676","IL",17,161,"Rock Island County","H1"
"677","IL",17,163,"St. Clair County","H1"
"678","IL",17,165,"Saline County","H1"
"679","IL",17,167,"Sangamon County","H1"
"680","IL",17,169,"Schuyler County","H1"
"681","IL",17,171,"Scott County","H1"
"682","IL",17,173,"Shelby County","H1"
"683","IL",17,175,"Stark County","H1"
"684","IL",17,177,"Stephenson County","H1"
"685","IL",17,179,"Tazewell County","H1"
"686","IL",17,181,"Union County","H1"
"687","IL",17,183,"Vermilion County","H1"
"688","IL",17,185,"Wabash County","H1"
"689","IL",17,187,"Warren County","H1"
"690","IL",17,189,"Washington County","H1"
"691","IL",17,191,"Wayne County","H1"
"692","IL",17,193,"White County","H1"
"693","IL",17,195,"Whiteside County","H1"
"694","IL",17,197,"Will County","H1"
"695","IL",17,199,"Williamson County","H1"
"696","IL",17,201,"Winnebago County","H1"
"697","IL",17,203,"Woodford County","H1"
"698","IN",18,1,"Adams County","H1"
"699","IN",18,3,"Allen County","H1"
"700","IN",18,5,"Bartholomew County","H1"
"701","IN",18,7,"Benton County","H1"
"702","IN",18,9,"Blackford County","H1"
"703","IN",18,11,"Boone County","H1"
"704","IN",18,13,"Brown County","H1"
"705","IN",18,15,"Carroll County","H1"
"706","IN",18,17,"Cass County","H1"
"707","IN",18,19,"Clark County","H1"
"708","IN",18,21,"Clay County","H1"
"709","IN",18,23,"Clinton County","H1"
"710","IN",18,25,"Crawford County","H1"
"711","IN",18,27,"Daviess County","H1"
"712","IN",18,29,"Dearborn County","H1"
"713","IN",18,31,"Decatur County","H1"
"714","IN",18,33,"DeKalb County","H1"
"715","IN",18,35,"Delaware County","H1"
"716","IN",18,37,"Dubois County","H1"
"717","IN",18,39,"Elkhart County","H1"
"718","IN",18,41,"Fayette County","H1"
"719","IN",18,43,"Floyd County","H1"
"720","IN",18,45,"Fountain County","H1"
"721","IN",18,47,"Franklin County","H1"
"722","IN",18,49,"Fulton County","H1"
"723","IN",18,51,"Gibson County","H1"
"724","IN",18,53,"Grant County","H1"
"725","IN",18,55,"Greene County","H1"
"726","IN",18,57,"Hamilton County","H1"
"727","IN",18,59,"Hancock County","H1"
"728","IN",18,61,"Harrison County","H1"
"729","IN",18,63,"Hendricks County","H1"
"730","IN",18,65,"Henry County","H1"
"731","IN",18,67,"Howard County","H1"
"732","IN",18,69,"Huntington County","H1"
"733","IN",18,71,"Jackson County","H1"
"734","IN",18,73,"Jasper County","H1"
"735","IN",18,75,"Jay County","H1"
"736","IN",18,77,"Jefferson County","H1"
"737","IN",18,79,"Jennings County","H1"
"738","IN",18,81,"Johnson County","H1"
"739","IN",18,83,"Knox County","H1"
"740","IN",18,85,"Kosciusko County","H1"
"741","IN",18,87,"LaGrange County","H1"
"742","IN",18,89,"Lake County","H1"
"743","IN",18,91,"LaPorte County","H1"
"744","IN",18,93,"Lawrence County","H1"
"745","IN",18,95,"Madison County","H1"
"746","IN",18,97,"Marion County","H6"
"747","IN",18,99,"Marshall County","H1"
"748","IN",18,101,"Martin County","H1"
"749","IN",18,103,"Miami County","H1"
"750","IN",18,105,"Monroe County","H1"
"751","IN",18,107,"Montgomery County","H1"
"752","IN",18,109,"Morgan County","H1"
"753","IN",18,111,"Newton County","H1"
"754","IN",18,113,"Noble County","H1"
"755","IN",18,115,"Ohio County","H1"
"756","IN",18,117,"Orange County","H1"
"757","IN",18,119,"Owen County","H1"
"758","IN",18,121,"Parke County","H1"
"759","IN",18,123,"Perry County","H1"
"760","IN",18,125,"Pike County","H1"
"761","IN",18,127,"Porter County","H1"
"762","IN",18,129,"Posey County","H1"
"763","IN",18,131,"Pulaski County","H1"
"764","IN",18,133,"Putnam County","H1"
"765","IN",18,135,"Randolph County","H1"
"766","IN",18,137,"Ripley County","H1"
"767","IN",18,139,"Rush County","H1"
"768","IN",18,141,"St. Joseph County","H1"
"769","IN",18,143,"Scott County","H1"
"770","IN",18,145,"Shelby County","H1"
"771","IN",18,147,"Spencer County","H1"
"772","IN",18,149,"Starke County","H1"
"773","IN",18,151,"Steuben County","H1"
"774","IN",18,153,"Sullivan County","H1"
"775","IN",18,155,"Switzerland County","H1"
"776","IN",18,157,"Tippecanoe County","H1"
"777","IN",18,159,"Tipton County","H1"
"778","IN",18,161,"Union County","H1"
"779","IN",18,163,"Vanderburgh County","H1"
"780","IN",18,165,"Vermillion County","H1"
"781","IN",18,167,"Vigo County","H1"
"782","IN",18,169,"Wabash County","H1"
"783","IN",18,171,"Warren County","H1"
"784","IN",18,173,"Warrick County","H1"
"785","IN",18,175,"Washington County","H1"
"786","IN",18,177,"Wayne County","H1"
"787","IN",18,179,"Wells County","H1"
"788","IN",18,181,"White County","H1"
"789","IN",18,183,"Whitley County","H1"
"790","IA",19,1,"Adair County","H1"
"791","IA",19,3,"Adams County","H1"
"792","IA",19,5,"Allamakee County","H1"
"793","IA",19,7,"Appanoose County","H1"
"794","IA",19,9,"Audubon County","H1"
"795","IA",19,11,"Benton County","H1"
"796","IA",19,13,"Black Hawk County","H1"
"797","IA",19,15,"Boone County","H1"
"798","IA",19,17,"Bremer County","H1"
"799","IA",19,19,"Buchanan County","H1"
"800","IA",19,21,"Buena Vista County","H1"
"801","IA",19,23,"Butler County","H1"
"802","IA",19,25,"Calhoun County","H1"
"803","IA",19,27,"Carroll County","H1"
"804","IA",19,29,"Cass County","H1"
"805","IA",19,31,"Cedar County","H1"
"806","IA",19,33,"Cerro Gordo County","H1"
"807","IA",19,35,"Cherokee County","H1"
"808","IA",19,37,"Chickasaw County","H1"
"809","IA",19,39,"Clarke County","H1"
"810","IA",19,41,"Clay County","H1"
"811","IA",19,43,"Clayton County","H1"
"812","IA",19,45,"Clinton County","H1"
"813","IA",19,47,"Crawford County","H1"
"814","IA",19,49,"Dallas County","H1"
"815","IA",19,51,"Davis County","H1"
"816","IA",19,53,"Decatur County","H1"
"817","IA",19,55,"Delaware County","H1"
"818","IA",19,57,"Des Moines County","H1"
"819","IA",19,59,"Dickinson County","H1"
"820","IA",19,61,"Dubuque County","H1"
"821","IA",19,63,"Emmet County","H1"
"822","IA",19,65,"Fayette County","H1"
"823","IA",19,67,"Floyd County","H1"
"824","IA",19,69,"Franklin County","H1"
"825","IA",19,71,"Fremont County","H1"
"826","IA",19,73,"Greene County","H1"
"827","IA",19,75,"Grundy County","H1"
"828","IA",19,77,"Guthrie County","H1"
"829","IA",19,79,"Hamilton County","H1"
"830","IA",19,81,"Hancock County","H1"
"831","IA",19,83,"Hardin County","H1"
"832","IA",19,85,"Harrison County","H1"
"833","IA",19,87,"Henry County","H1"
"834","IA",19,89,"Howard County","H1"
"835","IA",19,91,"Humboldt County","H1"
"836","IA",19,93,"Ida County","H1"
"837","IA",19,95,"Iowa County","H1"
"838","IA",19,97,"Jackson County","H1"
"839","IA",19,99,"Jasper County","H1"
"840","IA",19,101,"Jefferson County","H1"
"841","IA",19,103,"Johnson County","H1"
"842","IA",19,105,"Jones County","H1"
"843","IA",19,107,"Keokuk County","H1"
"844","IA",19,109,"Kossuth County","H1"
"845","IA",19,111,"Lee County","H1"
"846","IA",19,113,"Linn County","H1"
"847","IA",19,115,"Louisa County","H1"
"848","IA",19,117,"Lucas County","H1"
"849","IA",19,119,"Lyon County","H1"
"850","IA",19,121,"Madison County","H1"
"851","IA",19,123,"Mahaska County","H1"
"852","IA",19,125,"Marion County","H1"
"853","IA",19,127,"Marshall County","H1"
"854","IA",19,129,"Mills County","H1"
"855","IA",19,131,"Mitchell County","H1"
"856","IA",19,133,"Monona County","H1"
"857","IA",19,135,"Monroe County","H1"
"858","IA",19,137,"Montgomery County","H1"
"859","IA",19,139,"Muscatine County","H1"
"860","IA",19,141,"O'Brien County","H1"
"861","IA",19,143,"Osceola County","H1"
"862","IA",19,145,"Page County","H1"
"863","IA",19,147,"Palo Alto County","H1"
"864","IA",19,149,"Plymouth County","H1"
"865","IA",19,151,"Pocahontas County","H1"
"866","IA",19,153,"Polk County","H1"
"867","IA",19,155,"Pottawattamie County","H1"
"868","IA",19,157,"Poweshiek County","H1"
"869","IA",19,159,"Ringgold County","H1"
"870","IA",19,161,"Sac County","H1"
"871","IA",19,163,"Scott County","H1"
"872","IA",19,165,"Shelby County","H1"
"873","IA",19,167,"Sioux County","H1"
"874","IA",19,169,"Story County","H1"
"875","IA",19,171,"Tama County","H1"
"876","IA",19,173,"Taylor County","H1"
"877","IA",19,175,"Union County","H1"
"878","IA",19,177,"Van Buren County","H1"
"879","IA",19,179,"Wapello County","H1"
"880","IA",19,181,"Warren County","H1"
"881","IA",19,183,"Washington County","H1"
"882","IA",19,185,"Wayne County","H1"
"883","IA",19,187,"Webster County","H1"
"884","IA",19,189,"Winnebago County","H1"
"885","IA",19,191,"Winneshiek County","H1"
"886","IA",19,193,"Woodbury County","H1"
"887","IA",19,195,"Worth County","H1"
"888","IA",19,197,"Wright County","H1"
"889","KS",20,1,"Allen County","H1"
"890","KS",20,3,"Anderson County","H1"
"891","KS",20,5,"Atchison County","H1"
"892","KS",20,7,"Barber County","H1"
"893","KS",20,9,"Barton County","H1"
"894","KS",20,11,"Bourbon County","H1"
"895","KS",20,13,"Brown County","H1"
"896","KS",20,15,"Butler County","H1"
"897","KS",20,17,"Chase County","H1"
"898","KS",20,19,"Chautauqua County","H1"
"899","KS",20,21,"Cherokee County","H1"
"900","KS",20,23,"Cheyenne County","H1"
"901","KS",20,25,"Clark County","H1"
"902","KS",20,27,"Clay County","H1"
"903","KS",20,29,"Cloud County","H1"
"904","KS",20,31,"Coffey County","H1"
"905","KS",20,33,"Comanche County","H1"
"906","KS",20,35,"Cowley County","H1"
"907","KS",20,37,"Crawford County","H1"
"908","KS",20,39,"Decatur County","H1"
"909","KS",20,41,"Dickinson County","H1"
"910","KS",20,43,"Doniphan County","H1"
"911","KS",20,45,"Douglas County","H1"
"912","KS",20,47,"Edwards County","H1"
"913","KS",20,49,"Elk County","H1"
"914","KS",20,51,"Ellis County","H1"
"915","KS",20,53,"Ellsworth County","H1"
"916","KS",20,55,"Finney County","H1"
"917","KS",20,57,"Ford County","H1"
"918","KS",20,59,"Franklin County","H1"
"919","KS",20,61,"Geary County","H1"
"920","KS",20,63,"Gove County","H1"
"921","KS",20,65,"Graham County","H1"
"922","KS",20,67,"Grant County","H1"
"923","KS",20,69,"Gray County","H1"
"924","KS",20,71,"Greeley County","H1"
"925","KS",20,73,"Greenwood County","H1"
"926","KS",20,75,"Hamilton County","H1"
"927","KS",20,77,"Harper County","H1"
"928","KS",20,79,"Harvey County","H1"
"929","KS",20,81,"Haskell County","H1"
"930","KS",20,83,"Hodgeman County","H1"
"931","KS",20,85,"Jackson County","H1"
"932","KS",20,87,"Jefferson County","H1"
"933","KS",20,89,"Jewell County","H1"
"934","KS",20,91,"Johnson County","H1"
"935","KS",20,93,"Kearny County","H1"
"936","KS",20,95,"Kingman County","H1"
"937","KS",20,97,"Kiowa County","H1"
"938","KS",20,99,"Labette County","H1"
"939","KS",20,101,"Lane County","H1"
"940","KS",20,103,"Leavenworth County","H1"
"941","KS",20,105,"Lincoln County","H1"
"942","KS",20,107,"Linn County","H1"
"943","KS",20,109,"Logan County","H1"
"944","KS",20,111,"Lyon County","H1"
"945","KS",20,113,"McPherson County","H1"
"946","KS",20,115,"Marion County","H1"
"947","KS",20,117,"Marshall County","H1"
"948","KS",20,119,"Meade County","H1"
"949","KS",20,121,"Miami County","H1"
"950","KS",20,123,"Mitchell County","H1"
"951","KS",20,125,"Montgomery County","H1"
"952","KS",20,127,"Morris County","H1"
"953","KS",20,129,"Morton County","H1"
"954","KS",20,131,"Nemaha County","H1"
"955","KS",20,133,"Neosho County","H1"
"956","KS",20,135,"Ness County","H1"
"957","KS",20,137,"Norton County","H1"
"958","KS",20,139,"Osage County","H1"
"959","KS",20,141,"Osborne County","H1"
"960","KS",20,143,"Ottawa County","H1"
"961","KS",20,145,"Pawnee County","H1"
"962","KS",20,147,"Phillips County","H1"
"963","KS",20,149,"Pottawatomie County","H1"
"964","KS",20,151,"Pratt County","H1"
"965","KS",20,153,"Rawlins County","H1"
"966","KS",20,155,"Reno County","H1"
"967","KS",20,157,"Republic County","H1"
"968","KS",20,159,"Rice County","H1"
"969","KS",20,161,"Riley County","H1"
"970","KS",20,163,"Rooks County","H1"
"971","KS",20,165,"Rush County","H1"
"972","KS",20,167,"Russell County","H1"
"973","KS",20,169,"Saline County","H1"
"974","KS",20,171,"Scott County","H1"
"975","KS",20,173,"Sedgwick County","H1"
"976","KS",20,175,"Seward County","H1"
"977","KS",20,177,"Shawnee County","H1"
"978","KS",20,179,"Sheridan County","H1"
"979","KS",20,181,"Sherman County","H1"
"980","KS",20,183,"Smith County","H1"
"981","KS",20,185,"Stafford County","H1"
"982","KS",20,187,"Stanton County","H1"
"983","KS",20,189,"Stevens County","H1"
"984","KS",20,191,"Sumner County","H1"
"985","KS",20,193,"Thomas County","H1"
"986","KS",20,195,"Trego County","H1"
"987","KS",20,197,"Wabaunsee County","H1"
"988","KS",20,199,"Wallace County","H1"
"989","KS",20,201,"Washington County","H1"
"990","KS",20,203,"Wichita County","H1"
"991","KS",20,205,"Wilson County","H1"
"992","KS",20,207,"Woodson County","H1"
"993","KS",20,209,"Wyandotte County","H6"
"994","KY",21,1,"Adair County","H1"
"995","KY",21,3,"Allen County","H1"
"996","KY",21,5,"Anderson County","H1"
"997","KY",21,7,"Ballard County","H1"
"998","KY",21,9,"Barren County","H1"
"999","KY",21,11,"Bath County","H1"
"1000","KY",21,13,"Bell County","H1"
"1001","KY",21,15,"Boone County","H1"
"1002","KY",21,17,"Bourbon County","H1"
"1003","KY",21,19,"Boyd County","H1"
"1004","KY",21,21,"Boyle County","H1"
"1005","KY",21,23,"Bracken County","H1"
"1006","KY",21,25,"Breathitt County","H1"
"1007","KY",21,27,"Breckinridge County","H1"
"1008","KY",21,29,"Bullitt County","H1"
"1009","KY",21,31,"Butler County","H1"
"1010","KY",21,33,"Caldwell County","H1"
"1011","KY",21,35,"Calloway County","H1"
"1012","KY",21,37,"Campbell County","H1"
"1013","KY",21,39,"Carlisle County","H1"
"1014","KY",21,41,"Carroll County","H1"
"1015","KY",21,43,"Carter County","H1"
"1016","KY",21,45,"Casey County","H1"
"1017","KY",21,47,"Christian County","H1"
"1018","KY",21,49,"Clark County","H1"
"1019","KY",21,51,"Clay County","H1"
"1020","KY",21,53,"Clinton County","H1"
"1021","KY",21,55,"Crittenden County","H1"
"1022","KY",21,57,"Cumberland County","H1"
"1023","KY",21,59,"Daviess County","H1"
"1024","KY",21,61,"Edmonson County","H1"
"1025","KY",21,63,"Elliott County","H1"
"1026","KY",21,65,"Estill County","H1"
"1027","KY",21,67,"Fayette County","H6"
"1028","KY",21,69,"Fleming County","H1"
"1029","KY",21,71,"Floyd County","H1"
"1030","KY",21,73,"Franklin County","H1"
"1031","KY",21,75,"Fulton County","H1"
"1032","KY",21,77,"Gallatin County","H1"
"1033","KY",21,79,"Garrard County","H1"
"1034","KY",21,81,"Grant County","H1"
"1035","KY",21,83,"Graves County","H1"
"1036","KY",21,85,"Grayson County","H1"
"1037","KY",21,87,"Green County","H1"
"1038","KY",21,89,"Greenup County","H1"
"1039","KY",21,91,"Hancock County","H1"
"1040","KY",21,93,"Hardin County","H1"
"1041","KY",21,95,"Harlan County","H1"
"1042","KY",21,97,"Harrison County","H1"
"1043","KY",21,99,"Hart County","H1"
"1044","KY",21,101,"Henderson County","H1"
"1045","KY",21,103,"Henry County","H1"
"1046","KY",21,105,"Hickman County","H1"
"1047","KY",21,107,"Hopkins County","H1"
"1048","KY",21,109,"Jackson County","H1"
"1049","KY",21,111,"Jefferson County","H1"
"1050","KY",21,113,"Jessamine County","H1"
"1051","KY",21,115,"Johnson County","H1"
"1052","KY",21,117,"Kenton County","H1"
"1053","KY",21,119,"Knott County","H1"
"1054","KY",21,121,"Knox County","H1"
"1055","KY",21,123,"Larue County","H1"
"1056","KY",21,125,"Laurel County","H1"
"1057","KY",21,127,"Lawrence County","H1"
"1058","KY",21,129,"Lee County","H1"
"1059","KY",21,131,"Leslie County","H1"
"1060","KY",21,133,"Letcher County","H1"
"1061","KY",21,135,"Lewis County","H1"
"1062","KY",21,137,"Lincoln County","H1"
"1063","KY",21,139,"Livingston County","H1"
"1064","KY",21,141,"Logan County","H1"
"1065","KY",21,143,"Lyon County","H1"
"1066","KY",21,145,"McCracken County","H1"
"1067","KY",21,147,"McCreary County","H1"
"1068","KY",21,149,"McLean County","H1"
"1069","KY",21,151,"Madison County","H1"
"1070","KY",21,153,"Magoffin County","H1"
"1071","KY",21,155,"Marion County","H1"
"1072","KY",21,157,"Marshall County","H1"
"1073","KY",21,159,"Martin County","H1"
"1074","KY",21,161,"Mason County","H1"
"1075","KY",21,163,"Meade County","H1"
"1076","KY",21,165,"Menifee County","H1"
"1077","KY",21,167,"Mercer County","H1"
"1078","KY",21,169,"Metcalfe County","H1"
"1079","KY",21,171,"Monroe County","H1"
"1080","KY",21,173,"Montgomery County","H1"
"1081","KY",21,175,"Morgan County","H1"
"1082","KY",21,177,"Muhlenberg County","H1"
"1083","KY",21,179,"Nelson County","H1"
"1084","KY",21,181,"Nicholas County","H1"
"1085","KY",21,183,"Ohio County","H1"
"1086","KY",21,185,"Oldham County","H1"
"1087","KY",21,187,"Owen County","H1"
"1088","KY",21,189,"Owsley County","H1"
"1089","KY",21,191,"Pendleton County","H1"
"1090","KY",21,193,"Perry County","H1"
"1091","KY",21,195,"Pike County","H1"
"1092","KY",21,197,"Powell County","H1"
"1093","KY",21,199,"Pulaski County","H1"
"1094","KY",21,201,"Robertson County","H1"
"1095","KY",21,203,"Rockcastle County","H1"
"1096","KY",21,205,"Rowan County","H1"
"1097","KY",21,207,"Russell County","H1"
"1098","KY",21,209,"Scott County","H1"
"1099","KY",21,211,"Shelby County","H1"
"1100","KY",21,213,"Simpson County","H1"
"1101","KY",21,215,"Spencer County","H1"
"1102","KY",21,217,"Taylor County","H1"
"1103","KY",21,219,"Todd County","H1"
"1104","KY",21,221,"Trigg County","H1"
"1105","KY",21,223,"Trimble County","H1"
"1106","KY",21,225,"Union County","H1"
"1107","KY",21,227,"Warren County","H1"
"1108","KY",21,229,"Washington County","H1"
"1109","KY",21,231,"Wayne County","H1"
"1110","KY",21,233,"Webster County","H1"
"1111","KY",21,235,"Whitley County","H1"
"1112","KY",21,237,"Wolfe County","H1"
"1113","KY",21,239,"Woodford County","H1"
"1114","LA",22,1,"Acadia Parish","H1"
"1115","LA",22,3,"Allen Parish","H1"
"1116","LA",22,5,"Ascension Parish","H1"
"1117","LA",22,7,"Assumption Parish","H1"
"1118","LA",22,9,"Avoyelles Parish","H1"
"1119","LA",22,11,"Beauregard Parish","H1"
"1120","LA",22,13,"Bienville Parish","H1"
"1121","LA",22,15,"Bossier Parish","H1"
"1122","LA",22,17,"Caddo Parish","H1"
"1123","LA",22,19,"Calcasieu Parish","H1"
"1124","LA",22,21,"Caldwell Parish","H1"
"1125","LA",22,23,"Cameron Parish","H1"
"1126","LA",22,25,"Catahoula Parish","H1"
"1127","LA",22,27,"Claiborne Parish","H1"
"1128","LA",22,29,"Concordia Parish","H1"
"1129","LA",22,31,"De Soto Parish","H1"
"1130","LA",22,33,"East Baton Rouge Parish","H1"
"1131","LA",22,35,"East Carroll Parish","H1"
"1132","LA",22,37,"East Feliciana Parish","H1"
"1133","LA",22,39,"Evangeline Parish","H1"
"1134","LA",22,41,"Franklin Parish","H1"
"1135","LA",22,43,"Grant Parish","H1"
"1136","LA",22,45,"Iberia Parish","H1"
"1137","LA",22,47,"Iberville Parish","H1"
"1138","LA",22,49,"Jackson Parish","H1"
"1139","LA",22,51,"Jefferson Parish","H1"
"1140","LA",22,53,"Jefferson Davis Parish","H1"
"1141","LA",22,55,"Lafayette Parish","H1"
"1142","LA",22,57,"Lafourche Parish","H1"
"1143","LA",22,59,"La Salle Parish","H1"
"1144","LA",22,61,"Lincoln Parish","H1"
"1145","LA",22,63,"Livingston Parish","H1"
"1146","LA",22,65,"Madison Parish","H1"
"1147","LA",22,67,"Morehouse Parish","H1"
"1148","LA",22,69,"Natchitoches Parish","H1"
"1149","LA",22,71,"Orleans Parish","H6"
"1150","LA",22,73,"Ouachita Parish","H1"
"1151","LA",22,75,"Plaquemines Parish","H1"
"1152","LA",22,77,"Pointe Coupee Parish","H1"
"1153","LA",22,79,"Rapides Parish","H1"
"1154","LA",22,81,"Red River Parish","H1"
"1155","LA",22,83,"Richland Parish","H1"
"1156","LA",22,85,"Sabine Parish","H1"
"1157","LA",22,87,"St. Bernard Parish","H1"
"1158","LA",22,89,"St. Charles Parish","H1"
"1159","LA",22,91,"St. Helena Parish","H1"
"1160","LA",22,93,"St. James Parish","H1"
"1161","LA",22,95,"St. John the Baptist Parish","H1"
"1162","LA",22,97,"St. Landry Parish","H1"
"1163","LA",22,99,"St. Martin Parish","H1"
"1164","LA",22,101,"St. Mary Parish","H1"
"1165","LA",22,103,"St. Tammany Parish","H1"
"1166","LA",22,105,"Tangipahoa Parish","H1"
"1167","LA",22,107,"Tensas Parish","H1"
"1168","LA",22,109,"Terrebonne Parish","H1"
"1169","LA",22,111,"Union Parish","H1"
"1170","LA",22,113,"Vermilion Parish","H1"
"1171","LA",22,115,"Vernon Parish","H1"
"1172","LA",22,117,"Washington Parish","H1"
"1173","LA",22,119,"Webster Parish","H1"
"1174","LA",22,121,"West Baton Rouge Parish","H1"
"1175","LA",22,123,"West Carroll Parish","H1"
"1176","LA",22,125,"West Feliciana Parish","H1"
"1177","LA",22,127,"Winn Parish","H1"
"1178","ME",23,1,"Androscoggin County","H1"
"1179","ME",23,3,"Aroostook County","H1"
"1180","ME",23,5,"Cumberland County","H1"
"1181","ME",23,7,"Franklin County","H1"
"1182","ME",23,9,"Hancock County","H1"
"1183","ME",23,11,"Kennebec County","H1"
"1184","ME",23,13,"Knox County","H1"
"1185","ME",23,15,"Lincoln County","H1"
"1186","ME",23,17,"Oxford County","H1"
"1187","ME",23,19,"Penobscot County","H1"
"1188","ME",23,21,"Piscataquis County","H1"
"1189","ME",23,23,"Sagadahoc County","H1"
"1190","ME",23,25,"Somerset County","H1"
"1191","ME",23,27,"Waldo County","H1"
"1192","ME",23,29,"Washington County","H1"
"1193","ME",23,31,"York County","H1"
"1194","MD",24,1,"Allegany County","H1"
"1195","MD",24,3,"Anne Arundel County","H1"
"1196","MD",24,5,"Baltimore County","H1"
"1197","MD",24,9,"Calvert County","H1"
"1198","MD",24,11,"Caroline County","H1"
"1199","MD",24,13,"Carroll County","H1"
"1200","MD",24,15,"Cecil County","H1"
"1201","MD",24,17,"Charles County","H1"
"1202","MD",24,19,"Dorchester County","H1"
"1203","MD",24,21,"Frederick County","H1"
"1204","MD",24,23,"Garrett County","H1"
"1205","MD",24,25,"Harford County","H1"
"1206","MD",24,27,"Howard County","H1"
"1207","MD",24,29,"Kent County","H1"
"1208","MD",24,31,"Montgomery County","H1"
"1209","MD",24,33,"Prince George's County","H1"
"1210","MD",24,35,"Queen Anne's County","H1"
"1211","MD",24,37,"St. Mary's County","H1"
"1212","MD",24,39,"Somerset County","H1"
"1213","MD",24,41,"Talbot County","H1"
"1214","MD",24,43,"Washington County","H1"
"1215","MD",24,45,"Wicomico County","H1"
"1216","MD",24,47,"Worcester County","H1"
"1217","MD",24,510,"Baltimore city","C7"
"1218","MA",25,1,"Barnstable County","H1"
"1219","MA",25,3,"Berkshire County","H4"
"1220","MA",25,5,"Bristol County","H1"
"1221","MA",25,7,"Dukes County","H1"
"1222","MA",25,9,"Essex County","H4"
"1223","MA",25,11,"Franklin County","H4"
"1224","MA",25,13,"Hampden County","H4"
"1225","MA",25,15,"Hampshire County","H4"
"1226","MA",25,17,"Middlesex County","H4"
"1227","MA",25,19,"Nantucket County","H4"
"1228","MA",25,21,"Norfolk County","H1"
"1229","MA",25,23,"Plymouth County","H1"
"1230","MA",25,25,"Suffolk County","H4"
"1231","MA",25,27,"Worcester County","H4"
"1232","MI",26,1,"Alcona County","H1"
"1233","MI",26,3,"Alger County","H1"
"1234","MI",26,5,"Allegan County","H1"
"1235","MI",26,7,"Alpena County","H1"
"1236","MI",26,9,"Antrim County","H1"
"1237","MI",26,11,"Arenac County","H1"
"1238","MI",26,13,"Baraga County","H1"
"1239","MI",26,15,"Barry County","H1"
"1240","MI",26,17,"Bay County","H1"
"1241","MI",26,19,"Benzie County","H1"
"1242","MI",26,21,"Berrien County","H1"
"1243","MI",26,23,"Branch County","H1"
"1244","MI",26,25,"Calhoun County","H1"
"1245","MI",26,27,"Cass County","H1"
"1246","MI",26,29,"Charlevoix County","H1"
"1247","MI",26,31,"Cheboygan County","H1"
"1248","MI",26,33,"Chippewa County","H1"
"1249","MI",26,35,"Clare County","H1"
"1250","MI",26,37,"Clinton County","H1"
"1251","MI",26,39,"Crawford County","H1"
"1252","MI",26,41,"Delta County","H1"
"1253","MI",26,43,"Dickinson County","H1"
"1254","MI",26,45,"Eaton County","H1"
"1255","MI",26,47,"Emmet County","H1"
"1256","MI",26,49,"Genesee County","H1"
"1257","MI",26,51,"Gladwin County","H1"
"1258","MI",26,53,"Gogebic County","H1"
"1259","MI",26,55,"Grand Traverse County","H1"
"1260","MI",26,57,"Gratiot County","H1"
"1261","MI",26,59,"Hillsdale County","H1"
"1262","MI",26,61,"Houghton County","H1"
"1263","MI",26,63,"Huron County","H1"
"1264","MI",26,65,"Ingham County","H1"
"1265","MI",26,67,"Ionia County","H1"
"1266","MI",26,69,"Iosco County","H1"
"1267","MI",26,71,"Iron County","H1"
"1268","MI",26,73,"Isabella County","H1"
"1269","MI",26,75,"Jackson County","H1"
"1270","MI",26,77,"Kalamazoo County","H1"
"1271","MI",26,79,"Kalkaska County","H1"
"1272","MI",26,81,"Kent County","H1"
"1273","MI",26,83,"Keweenaw County","H1"
"1274","MI",26,85,"Lake County","H1"
"1275","MI",26,87,"Lapeer County","H1"
"1276","MI",26,89,"Leelanau County","H1"
"1277","MI",26,91,"Lenawee County","H1"
"1278","MI",26,93,"Livingston County","H1"
"1279","MI",26,95,"Luce County","H1"
"1280","MI",26,97,"Mackinac County","H1"
"1281","MI",26,99,"Macomb County","H1"
"1282","MI",26,101,"Manistee County","H1"
"1283","MI",26,103,"Marquette County","H1"
"1284","MI",26,105,"Mason County","H1"
"1285","MI",26,107,"Mecosta County","H1"
"1286","MI",26,109,"Menominee County","H1"
"1287","MI",26,111,"Midland County","H1"
"1288","MI",26,113,"Missaukee County","H1"
"1289","MI",26,115,"Monroe County","H1"
"1290","MI",26,117,"Montcalm County","H1"
"1291","MI",26,119,"Montmorency County","H1"
"1292","MI",26,121,"Muskegon County","H1"
"1293","MI",26,123,"Newaygo County","H1"
"1294","MI",26,125,"Oakland County","H1"
"1295","MI",26,127,"Oceana County","H1"
"1296","MI",26,129,"Ogemaw County","H1"
"1297","MI",26,131,"Ontonagon County","H1"
